customer_id,first_name,last_name,email,country,city,signup_date,loyalty_member
1,Avery,Garcia,user1@example.com,Ethiopia,City_13,2021-04-02,True
2,Jordan,Silva,user2@example.com,Ethiopia,City_280,2022-05-14,True
3,Morgan,Garcia,user3@example.com,United States,City_48,2022-10-31,True
4,Kai,Patel,user4@example.com,Canada,City_102,2021-03-27,False
5,Alex,Kim,user5@example.com,UK,City_143,2024-07-08,True
6,Avery,Brown,user6@example.com,Spain,City_175,2021-03-16,False
7,Lee,Johnson,user7@example.com,Ethiopia,City_48,2022-01-05,False
8,Sam,Nguyen,user8@example.com,Germany,City_136,2022-07-29,True
9,Kai,Martinez,user9@example.com,Costa Rica,City_41,2024-08-25,False
10,Jordan,Smith,user10@example.com,UK,City_99,2023-09-16,True
11,Jamie,Gonzalez,user11@example.com,Mexico,City_41,2020-07-25,False
12,Pat,Brown,user12@example.com,Guatemala,City_233,2022-01-28,False
13,Jordan,Silva,user13@example.com,India,City_137,2023-07-24,True
14,Riley,Khan,user14@example.com,Canada,City_126,2022-02-16,False
15,Chris,Gonzalez,user15@example.com,Canada,City_113,2024-04-22,True
16,Chris,Patel,user16@example.com,Kenya,City_17,2021-07-02,True
17,Chris,Garcia,user17@example.com,India,City_291,2023-09-04,False
18,Casey,Martinez,user18@example.com,Costa Rica,City_235,2020-10-12,True
19,Avery,Nguyen,user19@example.com,Canada,City_276,2023-04-12,False
20,Pat,Garcia,user20@example.com,UK,City_205,2020-10-10,False
21,Taylor,Brown,user21@example.com,Colombia,City_25,2023-07-09,True
22,Lee,Patel,user22@example.com,Spain,City_33,2023-05-05,False
23,Kai,Gonzalez,user23@example.com,Australia,City_129,2025-04-14,True
24,Avery,Kim,user24@example.com,Ethiopia,City_275,2023-08-05,False
25,Robin,Brown,user25@example.com,Ethiopia,City_151,2022-07-18,True
26,Riley,Chen,user26@example.com,Guatemala,City_257,2025-02-12,True
27,Mia,Garcia,user27@example.com,Mexico,City_260,2020-11-09,False
28,Devin,Lopez,user28@example.com,Indonesia,City_277,2020-01-02,False
29,Taylor,Lopez,user29@example.com,Italy,City_10,2022-01-13,False
30,Jamie,Lopez,user30@example.com,Kenya,City_30,2023-03-07,True
31,Jordan,Kim,user31@example.com,Colombia,City_249,2022-12-26,True
32,Kai,Brown,user32@example.com,Vietnam,City_244,2021-06-26,False
33,Morgan,Nguyen,user33@example.com,India,City_277,2021-09-30,False
34,Devin,Khan,user34@example.com,Honduras,City_225,2020-09-04,True
35,Chris,Smith,user35@example.com,Kenya,City_33,2023-04-19,True
36,Alex,Johnson,user36@example.com,UK,City_113,2023-12-20,True
37,Sam,Gonzalez,user37@example.com,Kenya,City_35,2021-11-07,True
38,Avery,Singh,user38@example.com,Australia,City_122,2022-09-21,True
39,Noah,Silva,user39@example.com,Canada,City_68,2022-08-26,True
40,Morgan,Johnson,user40@example.com,Italy,City_209,2020-07-17,False
41,Robin,Khan,user41@example.com,Honduras,City_217,2024-11-04,True
42,Lee,Nguyen,user42@example.com,Ethiopia,City_32,2021-11-25,True
43,Morgan,Chen,user43@example.com,Kenya,City_99,2022-07-07,True
44,Avery,Khan,user44@example.com,Spain,City_94,2021-05-26,True
45,Taylor,Smith,user45@example.com,France,City_282,2023-08-28,True
46,Riley,Patel,user46@example.com,Colombia,City_122,2022-09-21,False
47,Sam,Brown,user47@example.com,India,City_206,2022-02-15,True
48,Quinn,Martinez,user48@example.com,Costa Rica,City_136,2022-05-16,False
49,Drew,Garcia,user49@example.com,Vietnam,City_98,2025-06-06,True
50,Sam,Nguyen,user50@example.com,UK,City_278,2021-10-04,True
51,Dana,Chen,user51@example.com,Brazil,City_300,2025-02-25,True
52,Jordan,Gonzalez,user52@example.com,Brazil,City_261,2021-01-15,True
53,Jamie,Patel,user53@example.com,Germany,City_35,2020-09-02,True
54,Mia,Johnson,user54@example.com,UK,City_21,2022-05-08,False
55,Chris,Garcia,user55@example.com,Guatemala,City_105,2021-06-27,False
56,Quinn,Lee,user56@example.com,Vietnam,City_154,2025-03-17,True
57,Mia,Silva,user57@example.com,United States,City_235,2020-07-23,True
58,Devin,Martinez,user58@example.com,Canada,City_110,2020-09-28,False
59,Pat,Martinez,user59@example.com,Colombia,City_126,2020-11-19,False
60,Mia,Kim,user60@example.com,Canada,City_155,2023-09-01,True
61,Taylor,Lopez,user61@example.com,Canada,City_154,2020-10-02,False
